3312,1134,1378,21274,5927,6111,16578,13433,17918,17296,6732,11483,13400,14255,15158,21906,24694,5423,14196,4470,24450,2637,7644,5501,8576,17735,19388,19307,3474,22228,361,9527,10001,15488,13385,9720,3441,4048,14534,15129,6831,23857,21448,17513,11374,20756,11888,18218,10500,18138,11536,19746,370,6245,11849,17554,24854,24169,18236,20426,14715,20053,7422,24584,12943,18845,21722,18597,14327,23694,554,15725,12868,8246,15100,8342,18356,9416,3846,500,7277,18986,7460,8665,24929,17469,22874,1178,18050,4167,24101,11664,21758,5456,24983,14889,1409,17729,19743,5188
4602,17832,4328,3945,9242,21495,18662,1207,15672,13602,15467,17878,23931,21528,10294,11412,12164,19616,14737,20600,20962,6329,16901,9349,12047,3224,19034,17997,962,12867,18389,15868,12299,22207,8064,21511,21490,8143,584,6476,9951,23699,11317,24187,23333,18082,674,14704,2477,12395,13202,1998,3048,22892,11396,13947,18847,4532,15095,19770,3870,10740,2665,13901,22890,15482,13560,17439,12703,4731,12067,1624,12054,22504,22674,11853,16560,15808,24293,15606,16417,13128,3599,4244,19469,3355,15361,16775,8126,11488,2636,17357,4269,8462,9221,21175,12936,20613,2332,12624
19115,6424,24816,2400,3935,14221,15885,15682,11229,13970,24708,4520,21934,14214,21019,21395,11780,1382,23253,18649,24930,7972,5304,4382,15052,21856,12085,16203,7522,21960,1299,15093,18279,18276,8655,4785,6068,4596,587,4399,20681,4876,23451,7954,23355,8570,9332,11762,2827,13012,17070,1516,775,15733,15510,14541,4813,1172,8112,20235,16364,14022,12828,14656,1318,17807,17169,176,10478,23195,9007,8175,7375,7283,9642,18242,18899,4438,10209,22887,6695,5835,11981,12487,5157,6154,13867,3912,12641,1505,14300,22097,11470,576,23642,2418,23222,22434,24077,22981
14917,1148,2139,9725,10842,15266,2867,18921,24968,17446,18100,4631,14504,20750,10610,24129,3902,17994,5966,24437,14973,6659,12759,17332,2582,11006,17596,16433,15858,18457,2549,20734,20961,4553,5120,8525,23469,698,11434,21646,18581,18324,1614,4250,8534,15338,21904,1583,18432,24550,19740,15038,837,22669,22888,24748,7343,9629,4441,6909,19407,5445,14495,7980,7130,2784,8617,7524,14113,12796,925,10532,22500,2781,15899,14177,12768,5817,12,19849,16296,6587,12784,19077,5463,23078,9741,10711,4242,24662,23929,4192,19540,22011,13574,2120,18891,13672,22734,22900
3138,11429,22384,12439,6980,20720,1759,3227,6986,14271,19439,15127,703,3740,19638,5049,19923,11086,19165,6900,20575,12568,11621,18008,23409,17345,19220,14669,3958,16144,15389,10803,6580,21876,21135,13772,7468,16330,18060,3009,6965,8626,11034,23441,24487,3547,20218,5217,6352,5892,6002,17591,86,10113,14018,20237,2859,18462,2972,16725,2516,9959,11055,22454,13039,19412,22553,6041,22357,19006,17913,17005,8772,6946,4639,13493,1640,12931,17453,1407,11857,11750,10387,9996,21893,19322,19981,3434,21249,8301,9921,10013,11416,3561,18867,19275,14375,23588,22065,3766
20513,4313,24215,13718,15990,16833,21073,7007,14554,22841,24869,23358,23377,9474,8923,9357,7354,13603,12299,2636,4580,16901,23103,19770,17829,17878,17793,10517,16524,2333,2374,7661,3421,12553,621,11644,22892,415,951,10698,22108,13518,13489,21175,10727,7469,22572,22109,1624,3055,7453,16876,2404,337,16468,35,20503,57,6514,11317,11212,12336,22394,24373,17847,13813,12356,20875,22475,11877,18237,21495,962,4151,22508,12030,271,17771,23122,19978,21159,11564,11624,16062,9299,18992,19517,148,4918,24293,9579,24060,2314,19034,17121,6019,6694,5252,12888,9695
2640,13246,11781,13523,20554,21533,8269,7719,6740,29,7095,20307,3088,22309,14783,18452,15746,15231,2093,24654,15325,1925,8648,24676,13026,16232,13527,13984,16164,24833,3950,5952,7914,2702,1204,19305,11821,10042,7386,11844,23145,11867,1221,5602,22101,11431,17549,15903,18380,15520,4353,10819,1328,22431,4983,1511,8286,6008,4959,727,11153,12617,14560,13044,20448,8103,22907,18278,12186,4153,209,12767,23098,13834,24041,9492,17688,13338,11040,23075,19506,1749,4103,21308,21506,4821,11554,14140,3104,24609,179,11807,23024,15470,22599,5541,24051,24963,23995,24301
5212,16887,6053,13389,18804,22277,9351,13630,19045,17295,3833,12244,15823,2682,15014,17663,117,2597,16376,19281,17969,15594,14593,1069,1799,10239,8981,3849,22910,14803,318,22683,8404,11691,12179,12733,1854,15319,2261,2166,8524,13915,14350,797,21424,5305,5989,18605,15636,3288,21625,2679,11650,20589,15523,11114,14908,17151,13444,8739,12788,18198,16656,6010,23332,23080,10188,6559,10564,9465,24659,12831,1220,21285,21850,9389,5361,3437,1374,16224,11832,13684,4265,6670,12752,12036,3069,23129,23802,14118,14314,19562,12993,10152,14036,24700,11496,15459,24592,11573
22103,18835,12088,1246,904,20327,23571,13048,2801,12251,16501,21176,1462,13651,6049,11820,19584,11373,21400,13874,2388,8271,12674,12830,22047,4432,11416,23482,19534,21993,11193,7498,14299,12737,19176,13814,23787,11689,17682,20032,13517,15626,7010,5604,12590,20675,15818,2079,21049,21921,11304,22792,19235,17023,10728,21801,17103,3821,22215,15013,12038,14037,2787,9267,4146,12128,10425,18043,19853,16651,10376,12564,19395,24731,5649,13822,12457,20476,10065,5217,10978,23900,3678,2656,550,12108,12797,13738,23945,18905,12680,9157,12523,11857,19490,16413,6795,2325,8705,8090
12651,5146,8230,14407,17388,23892,20423,12168,14164,15242,21833,18580,4404,13076,466,23014,9901,11382,22382,4987,994,11380,17422,14103,10088,17792,4535,22048,12205,5755,7351,15463,19801,10486,21025,24612,15038,22130,17654,21619,22516,17335,15642,6862,1726,16241,7326,15321,9335,11256,3393,16679,3942,23835,3566,9741,13621,19027,10532,23528,2050,24350,6818,17468,5817,15524,9837,9182,14264,18214,18766,20716,22425,7394,16922,11628,6783,19818,16076,19745,21646,11434,5277,16956,8290,23378,10634,17042,16301,1234,18776,17599,20113,975,8805,7561,384,2582,9159,1148
